title,type,director,cast,listed_in,description
FINAL FANTASY XIV Dad of Light,TV Show,,"Yudai Chiba, Ren Osugi, Fumika Baba, Yoshihiko Hakamada, Hatsunori Hasegawa, Mako Ishino","International TV Shows, TV Dramas",A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.
Gurren Lagann,TV Show,,"Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal","Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble."
High Risk,TV Show,,,"Docuseries, Reality TV","From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats."
Incorruptible,Movie,Elizabeth Chai Vasarhelyi,,Documentaries,"In the streets of Senegal, a youth movement rises up against a regime bent on retaining power in this chronicle of the nation's stormy 2012 elections."
Inuyasha the Movie - L'isola del fuoco scarlatto,Movie,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna, Fumiko Orikasa, Richard Ian Cox, Moneca Stori","Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help his people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
Inuyasha the Movie - La spada del dominatore del mondo,Movie,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue","Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
InuYasha: The Movie 2: The Castle Beyond the Looking Glass,Movie,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Mieko Harada","Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
Khoon Khoon,Movie,Mohammed Hussain,"Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep","Action & Adventure, International Movies","As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of “Dirty Harry.”"
LEGO Elves: Secrets of Elvendale,TV Show,,"Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr",Kids' TV,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series."
Little Evil,Movie,Eli Craig,"Adam Scott, Evangeline Lilly, Bridget Everett, Owen Atlas, Chris D'Elia, Donald Faison, Clancy Brown, Tyler Labine, Kyle Bornheimer, Carla Gallo, Brad Williams, Sally Field","Comedies, Horror Movies","In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon."
Lorai: Play to Live,Movie,Parambrata Chatterjee,"Prasenjit Chatterjee, Payel Sarkar, Indrasish Roy, Kanchan Mullick, Kharaj Mukherjee, Gargi Roychowdhury, Deepankar De, Biswajit Chakraborty, Bharat Kaul, Rajat Ganguly","Dramas, International Movies, Sports Movies","Under a government initiative, a retired alcoholic soccer player is sent to establish a soccer team in a politically troubled area."
Maniac,TV Show,,"Espen Petrus Andersen Lervaag, Håkon Bast Mossige, Arif Salum, Ingeborg Raustøl, Marte Germaine Christensen, Mats Mogeland","International TV Shows, TV Comedies, TV Dramas","A nondescript man in a mental hospital has an exciting life of adventure and romance – in his head. He may be insane, or maybe he's just having fun."
Manoranjan,Movie,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali","Comedies, International Movies, Music & Musicals","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets."
Mujrim,Movie,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena","Action & Adventure, Dramas, International Movies","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection."
Naruto Shippuden : Blood Prison,Movie,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki","Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
Naruto Shippûden the Movie: The Will of Fire,Movie,Masahiko Murata,"Junko Takeuchi, Kazuhiko Inoue, Chie Nakamura, Satoshi Hino, Showtaro Morikubo, Kentarô Itô, Ryoka Yuzuki, Kosuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura","Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
Naruto Shippuden: The Movie: The Lost Tower,Movie,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Satoshi Hino, Toshiyuki Morikawa, Mutsumi Tamura, Mayuki Makiguchi, Kenji Hamada, Nobuaki Fukuda, Saori Hayami","Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Hirotsugu Kawasaki,"Junko Takeuchi, Showtaro Morikubo, Chie Nakamura, Gaamon Kai, Takako Honda, Akira Ishida, Yasuyuki Kase, Noriaki Sugiyama, Kazuhiko Inoue","Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Naya Rokurô, Marika Hayashi, Hisao Egawa, Kenji Hamada, Haruhi Nanao","Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Tensai Okamura,"Yuri Lowenthal, Maile Flanagan, Sam Regal, Cam Clarke, Lex Lang, Kari Wahlgren, Crispin Freeman","Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Offline - Das leben ist kein bonuslevel,Movie,Florian Schnell,"Moritz Jahn, Mala Emde, Ugur Ekeroglu, David Schütter, Hannes Wegener, Yung Ngo, Kida Khodr Ramadan","Action & Adventure, Comedies, International Movies",Competitive gamer Jan finds his life thrown for a loop when his bitter rival hacks his identity just before a high-stakes tournament.
Resurface,Movie,"Josh Izenberg, Wynn Padula",,"Documentaries, Sports Movies",A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.
Rocco,Movie,"Thierry Demaizière, Alban Teurlai",Rocco Siffredi,"Documentaries, International Movies",Italian porn star Rocco Siffredi is showcased in this documentary that shadows the legendary performer during his final year in front of the camera.
She's Gotta Have It,Movie,Spike Lee,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell, Spike Lee, Raye Dowell, Joie Lee, S. Epatha Merkerson, Bill Lee, Cheryl Burr, Aaron Dugger","Classic Movies, Comedies, Independent Movies","A free-spirited woman can't choose between a trio of ill-suited suitors: relationship-minded Jamie, shallow male model Greer and bike messenger Mars."
Sohni Mahiwal,Movie,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","Dramas, International Movies, Romantic Movies","After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her."
The Distinguished Citizen,Movie,"Gastón Duprat, Mariano Cohn","Oscar Martínez, Dady Brieva, Andrea Frigerio, Nora Navas, Manuel Vicente, Belén Chavanne, Marcelo D'Andrea, Gustavo Garzón","Comedies, Dramas, International Movies","Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
The Drowning,Movie,Bette Gordon,"Josh Charles, Julia Stiles, Avan Jogia, Tracie Thoms, Leo Fitzpatrick, Mike Houston, Jasper Newell",Thrillers,"Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions."
The Guardian Brothers,Movie,Gary Wang,"Edward Norton, Dan Fogler, Mike Birbiglia, Bella Thorne, Randall Park, Mel Brooks, Nicole Kidman, Meryl Streep","Children & Family Movies, Comedies","When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them."
The Last Shaman,Movie,Raz Degan,James Freeman,"Documentaries, International Movies","In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual."
The Lost Brother,Movie,Israel Adrián Caetano,"Leonardo Sbaraglia, Daniel Hendler, Ángela Molina, Alián Devetac, Pablo Cedrón, Alejandra Flechner","Dramas, International Movies","While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path."
Tip the Mouse,TV Show,,"Alyson Leigh Rosenfeld, Dave Wills, Serra Hirsch, Erica Schroeder, Jason Griffith",Kids' TV,"In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family."
Todo Sobre El Asado,Movie,"Mariano Cohn, Gastón Duprat",El Negro Álvarez,"Documentaries, International Movies","This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue – which is both meal and ritual."
Who the F**k Is That Guy?,Movie,Drew Stone,Michael Alago,"Documentaries, LGBTQ Movies, Music & Musicals","Take a ride through the life of record exec Michael Alago, a gay Puerto Rican New Yorker who signed a slew of musical acts, including Metallica."
A Noble Intention,Movie,Joram Lürsen,"Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga, Zeb Troostwijk, Elisabeth Hesemans, Joosje Duk","Dramas, International Movies","In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community."
Bon Bini Holland,Movie,Jelle de Jonge,"Jandino Asporaat, Liliana de Vries, Teun Kuilboer, Sergio IJssel, Dennis Rudge, Alpha Oumar Barry, Phi Nguyen","Comedies, International Movies","On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme."
Conspiracy,TV Show,,Mark Bazeley,"British TV Shows, Docuseries","Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
Dead Set,TV Show,,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak","British TV Shows, TV Horror, TV Thrillers","While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound."
Dukhtar,Movie,Afia Nathaniel,"Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Adnan Shah, Ajab Gul, Abdullah Jan, Samina Ahmad, Omair Rana, Zeeshan Shafa","Dramas, Independent Movies, International Movies",A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.
Easy Fortune Happy Life,TV Show,,"Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan","International TV Shows, Romantic TV Shows, TV Comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients."
Figaro Pho,Movie,Luke Jurevicius,Luke Jurevicius,"Children & Family Movies, Comedies",Quirky little Figaro has a whole alphabet's worth of phobias. These wordless animated shorts follow his many fears from A to Z.
Full Out,Movie,Sean Cisterna,"Jennifer Beals, Ana Golja, Art Hindle, Jake Epstein, Ramona Milano, Trevor Tordjman, Lamar Johnson, Asha Bromfield, Sarah Fisher","Children & Family Movies, Dramas, Sports Movies","After a debilitating accident ends her Olympic dreams, gymnast Ariana Berlin finds recovery and hope in the world of hip-hop and college athletics."
Game Winning Hit,TV Show,,"Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin","International TV Shows, TV Comedies, TV Dramas",An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
Holy Hell,Movie,Will Allen,,Documentaries,An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light.
Lucky Days,TV Show,,"Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien","International TV Shows, Romantic TV Shows, TV Comedies","When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage."
